施設種別,名称,写真,所在地,lat,lng,営業時間
商業施設,エスマート湖山店,https://static.reearth.io/assets/01gghc7yhh7pbxfrv05t3atf9y.jpg,鳥取県鳥取市湖山町北6丁目262,35.51973522,134.179904,9時～22時
商業施設,MARUI湖山店,https://static.reearth.io/assets/01gghc7xj46jt0qcajg5zjf62r.jpg,鳥取県鳥取市湖山町東1丁目122−1,35.51688608,134.1833052,24時間営業
商業施設,サンマート 湖山店,https://static.reearth.io/assets/01gghc7zgsqw1c55s5tbqje57m.jpg,鳥取県鳥取市湖山町東2丁目133,35.51769383,134.1847397,9時～21時
